CODELIST_LONG_NAME,CODELIST_SHORT_NAME,CODELIST_CODE,CODE
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115800
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115801
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115802
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115803
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115804
6 Minute Walk Functional Test Test Code,SIXMW1TC,C115388,C115805
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115800
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115801
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115802
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115803
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115804
6 Minute Walk Functional Test Test Name,SIXMW1TN,C115387,C115805
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102034
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102035
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102036
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102037
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102038
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102039
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102040
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102041
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102042
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102043
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102044
Abnormal Involuntary Movement Scale Questionnaire Test Code,AIMS01TC,C101805,C102045
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102034
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102035
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102036
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102037
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102038
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102039
Abnormal Involuntary Movement Scale Questionnaire Test Name,AIMS01TN,C101806,C102040
